No,店名,X アカウント,フォロワー数,申込方法（現状）,DM送信日,返信,ステータス,メモ
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
